Name,Price,Image,Estimated,Code
Flubenvet Wormer - 1% » 60g Tub, £28.29, http://static2.viovet.co.uk/pi/image_import_1440774412.jpg, Estimated dispatch within 2 working days, 112791
Name,Price,Image,Estimated,Code
Vetark Avipro Plus - 100g Pot, £6.82, [ No Image ], Estimated dispatch within 2 working days, 113676
Vetark Avipro Plus - 300g Pot, £15.38, [ No Image ], Estimated dispatch within 2 working days, 113681
Vetark Avipro Plus - 1kg Tub, £46.75, [ No Image ], Estimated dispatch within 2 working days, 126087
Name,Price,Image,Estimated,Code
Verm-X Poultry and Duck & Fowl Wormer - Health Pack » Single Kit, £17.28, http://static2.viovet.co.uk/pi/image_import_1471507856.jpg, Estimated dispatch within 2 working days, 149140
Verm-X Poultry and Duck & Fowl Wormer - Special Offer Liquid » 250ml Bottle, £12.39, http://static2.viovet.co.uk/pi/image_import_1471507856.jpg, Estimated dispatch within 24 working hours, 121922
Verm-X Poultry and Duck & Fowl Wormer - Liquid » 500ml Bottle, £27.10, http://static2.viovet.co.uk/pi/image_import_1471507856.jpg, Estimated dispatch within 2 working days, 147754
Verm-X Poultry and Duck & Fowl Wormer - Liquid » 1 litre Bottle, £48.37, http://static2.viovet.co.uk/pi/image_import_1471507856.jpg, Estimated dispatch within 24 working hours, 147752
Verm-X Poultry and Duck & Fowl Wormer - Liquid » 5 litre Bottle, £200.32, http://static2.viovet.co.uk/pi/image_import_1471507856.jpg, Estimated dispatch within 2 working days, 147755
Name,Price,Image,Estimated,Code
Harkers Harka-Mectin - 5ml Bottle, £8.36, [ No Image ], Estimated dispatch within 2 working days, 118805
Name,Price,Image,Estimated,Code
Battles Poultry Spice - 450g Tub, £4.74, http://static2.viovet.co.uk/pi/image_import_1332495438.jpg, Estimated dispatch within 24 working hours, 131240
Battles Poultry Spice - 1.5kg Tub, £11.68, http://static1.viovet.co.uk/pi/image_import_1332495601.jpg, Estimated dispatch within 24 working hours, 131241
Battles Poultry Spice - 3kg Tub, £19.70, http://static1.viovet.co.uk/pi/image_import_1332495731.jpg, Estimated dispatch within 24 working hours, 131242
Name,Price,Image,Estimated,Code
Net-Tex Just For Scaly Legs on Poultry - 250ml Bottle, £6.05, http://static2.viovet.co.uk/pi/image_import_1472211072.jpg, Estimated dispatch within 2 working days, 127849
Name,Price,Image,Estimated,Code
Natures Grub Diatomaceous Earth - 200g Puffer Bottle, £2.81, [ No Image ], Estimated dispatch within 24 working hours, 147648
Name,Price,Image,Estimated,Code
Zolcal-D - 120ml Bottle, £6.59, http://static2.viovet.co.uk/pi/image_import_1470049456.jpg, Estimated dispatch within 2 working days, 142928
Name,Price,Image,Estimated,Code
Nutrobal - 50g Tub, £4.59, http://static1.viovet.co.uk/pi/image_import_1326981035.jpg, Estimated dispatch within 2 working days, 127056
Nutrobal - 100g Tub, £5.27, http://static2.viovet.co.uk/pi/image_import_1326980228.jpg, Estimated dispatch within 2 working days, 127057
Nutrobal - 250g Tub, £12.18, http://static2.viovet.co.uk/pi/image_import_1326980574.jpg, Estimated dispatch within 2 working days, 127058
Nutrobal - 1kg Tub, £43.18, http://static2.viovet.co.uk/pi/image_import_1326980310.jpg, Estimated dispatch within 2 working days, 127059
Name,Price,Image,Estimated,Code
Pharmaq Ivermectin Spot-On Drops - 0.1% Small Ornamental Birds » 10ml Bottle, £15.75, [ No Image ], Estimated dispatch within 2 working days, 149770
Pharmaq Ivermectin Spot-On Drops - 1% Large Ornamental Birds » 10ml Bottle, £29.30, [ No Image ], Estimated dispatch within 2 working days, 149771
Pharmaq Ivermectin Spot-On Drops - 1% Small Animals » 5ml Bottle, £18.50, [ No Image ], Estimated dispatch within 2 working days, 149772
Name,Price,Image,Estimated,Code
Nobilis Paramyxo Pigeon Vaccine - 80 Dose (20ml) Bottle, £23.49, http://static1.viovet.co.uk/pi/image_import_1478244098.JPG, Estimated dispatch within 2 working days, 136824
Name,Price,Image,Estimated,Code
